时间,用户,星级,短评,支持数
2021-12-14 05:26:21,朝暮雪,四星,很多人被现实按在地上摩擦，最终屈服了。也有很多人被现实按在地上摩擦，但他不认，他选择做一头雄狮，战斗到底。梦想和现实哪个更重要我不知道，但阿强的经历告诉我：一个人老了以后，不会后悔做了什么，只会后悔没做什么。宁愿做过了后悔，也不要错过了后悔。就像阿娟明知道此时当务之急是打工赚钱，他最终还是决定参加比赛。重要的不是将梦想变为事业，而是我曾经为之奋斗过，我尽力了。不求尽如人意，只求无愧于心。所有人都说跳擎天柱是不可能的，他还是要试一试。因为重要的不是结果，而是过程。虽然他掉进了水里，但他还是在擎天柱上留下了一些东西。不求名垂千古，只求在这个世界留下一些痕迹，证明我曾经存在过。是的，《雄狮》毕竟是电影，不可能人人都能成为阿娟。但有时，你也会得到电影里的结局。,476
2021-12-08 17:27:30,亵渎电影,四星,这部电影就像一个能量巨大的情绪炸弹，带着观众在100分钟的时间里坐情绪过山车，喜怒哀乐不断的翻转。为了让观众能够时刻准确的get到情绪，台词、配乐和角色的表情齐上阵，导演调动一切能用的视听手段，把情绪直接给到观众。热血和燃成了观影时最直接的生理反应，而且动画这种形式，刚好完美化解了真人表演时热血的中二感，有大众爆款的潜质。虽然是一部动画电影，它讲的却是一个非常现实主义的故事，讲留守儿童，进城务工和贫穷等成人化的社会话题，为了让少年们舞狮，剧本在角色身上加了好几层外力，为少年的舞狮提供行为动机和逻辑的合理性，完成了一个技巧扎实的好故事。看完这部电影，你会深切体会到那句话，少折腾话题，踏踏实实讲好一个故事比什么都重要。,595
2021-12-19 17:25:13,兔安叽,三星,看完就是生气。这么好的画面和题材，剧本稀烂。希望中国能出几个懂内容的制片人，别浪费了这么好的技术。老梗我都忍了，人物塑造失败是致命伤。,400
2021-12-05 09:56:55,Bork,一星,台詞極其低幼，情節極其套路——對五條人歌曲的大量運用，不過是借用一點廣東縣城的感覺，五條人同影片直露傳達的好鬥進取、艱苦創業進而逆天改命的理念不說截然相反，也可以說毫無關聯。當然，結尾對跳最高樁的結果和植物人父親醒來的表達收了一下、顯得模糊，彩蛋則顯示舞獅並未真正改變主人公打工人的命運，約可讓人善意地理解整部影片的正能量或許未必完全出自編導的自由意志。此外，暫且不論廣東社會的實況究竟如何，影片的表達對於女性可謂極度不友善：社會和舞獅行業堵死了女性的上升空間，技能再高超也僅可充當花瓶並早早退居二線；男性舞獅明星則將中年後的泯然眾人歸咎於以妻子為唯一代表的回歸家庭和事業的壓力，其重整旗鼓則建立在女性痛徹心扉的“悔悟”及全然擔下他的那份家庭責任的前提下。2021年12月4日14:30於太古倉3號廳，點映。,1169
2021-12-11 21:14:36,男娼起义,四星,后半段可以把它送上年度华语最佳影片…很有气韵…,698
2021-12-11 18:55:42,韦斯安徒生,五星,平平无奇的前一小时，让我完全没想到自己走出影院时会如此喜欢这部电影。本片后40分钟，好的一塌糊涂。这是难得不需神话打底的原创动画，为它奠基的是传统文化。终于，国产动画开始落地关照现实，讲的不再是凡人变成不凡英雄拯救世人，而是凡人变成自己的英雄。在它之前，未有任何国产主流动画的主角，是个在工地睡下下铺，白天搬砖晚上还要去送外卖的少年。他有一个梦想，曾遥不可及，可当它因为他的努力终于触手可及时，生存又让他必须放弃。阿娟决心告别舞狮前，在天台最后一舞。舞狮结束，朝阳升起，照亮正在生长却不属于他的城市，他内心响起舞狮的鼓点，激活一切澎湃，镜头给到成群结队进入电子厂的工人背影，那一刻他们仿佛也听到了鼓声。这个场景，应该被载入中国影史。,1981
2021-12-09 00:03:00,木石子,二星,我看到了今年电影院里最荒唐的一幕——开着豪车的女生对一天打八份工、并且还要赡养病重父亲的男主说，你要坚持自己的梦想。这种震撼绝不亚于白岩松说的那句“不会吧”！还有，国漫能不能别在贩卖“成功学”了，如果成功那么简单，那为什么我们的生活还是那么操蛋呢？,3666
2021-12-11 00:08:05,Summer,五星,喜欢，惊喜，是我近几年最喜欢的国漫电影。雄狮少年走向了现实主义，拓宽了中国动画行业的创作边界。整体观感极好：美术、影调、镜头语言、人物塑造、配乐、配音、情感表达、笑点泪点燃点……都可圈可点。加之这部国漫关乎传统文化——舞狮，无论从色彩，做工还是动作流畅度来看，在动画里的视觉呈现都无与伦比，质感一流。人文情怀，亲情友情，梦想现实……所有情感的表达也都真挚动人。开播不到三分钟，我就被完全地拽入进了画面之中，顺着主人公的视角，也想起了好些纷纷繁繁的年少回忆：错综巷道，街坊四邻，市集烟火，田野繁星……熟悉且深爱的亲人，四处撒欢冒险的小伙伴，少年文学作品，年少独有的天真理想纯良与不灭的精气神儿……回忆的加持让我与影片深度共情。有瑕疵，但瑕不掩瑜。支持国漫，希望大爆！,1627
2021-12-17 20:40:16,聚斯金德能否,四星,用心看完后，你不会去在意眼睛是大是小,578
2021-12-27 23:14:52,边喝芬达边洗澡,五星,雄狮不会在意自己眼睛的大小。,1114
2021-12-04 23:21:54,西楼尘,四星,虽然床底睡的是烂泥，但在天台闪转腾挪便有光芒。即使背上扛的是咸鱼，但在狮尾扛起狮头便能翻身。佛祖不理解弱者的祈祷，老天听不到病猫的咆哮。当你手上裂了口子，脚背沁出鲜血，当你在高桩采青，在长凳韬光，当你拼尽全力冲向擎天柱的时刻，那撕裂的狮头露出半张脸，你阿娟定会出人头地，命若雄狮。,353
2021-12-06 00:05:12,苏乏,五星,写过留守题材，极难出彩，因为易守难攻，强调“恨”和“帮”都不会有大意思，但自证太易入“假”，故事借助民俗的底蕴做了很好的补充，影片并涉及了一些不可言说的细节，弥补了主线略显单薄的处理，在进入第三幕完成了合题，甚至结尾颇有化境之感，更得益于导演（或监制）的视听品味和绝佳的音效及音乐处理，尤其在九连真人的前奏响起之时，沸腾之感相当明显，总体而言不负期待，申奥片有了,1090
2021-12-19 23:53:10,是陈二白呀🇨🇳,四星,比起最后的登顶擎天柱，我更喜欢阿娟在天台练舞狮的那一段，完美诠释了什么叫：生活的重担在肩上，但热血流在心头,260
2021-12-11 00:29:30,懵星,二星,好多人给了好评，满怀期待去看，全程：啥玩意？就这？一直期待结尾来点高潮，让我燃起来，结果一点感觉都没有。看到编剧是里则林，我一百万个后悔看之前没查编剧是谁。我朋友是觉得老套，所有的剧情都能猜出来。我直接说严重一点，剧情融梗严重，但融的梗都稍稍有变化（我能说编剧鸡贼吗？）。剧情发展本应该特别燃，但有时为了搞笑，放弃了塑造，比如在舞狮大赛初赛的时候，本应该有剧情片段是刻画他们成功赢了曾经比输过的队伍，但初赛的段落完全没有，反而把戏份放在了教练身上。到底是要讲年轻人的故事还是讲教练这枚老将的故事呢？编剧自己搞不清楚了。后来可能是为了增加时长，又让主角父亲出问题了，主角不得不去打工挣钱了……看到这里真的是无比生气啊。啥玩意啊。瞎胡闹！主角已经完成了成长，就应该让他一直杀上去啊！突然又整幺蛾子干嘛！,1358
2021-12-12 16:42:12,熊阿姨,五星,没想到看个动画片也要带纸巾，剧情非常工整，每个情节都不出意料，但线索铺得高级且克制，画面堪称光线大师。最珍贵的是，我们很久没看到一个真实的中国城市出现在屏幕上了，荔枝湾、芳村地铁站、红木棉市花都是真的，舞狮文化、留守儿童、工伤、一闪而过的富士康厂服也是真的，有这片子是广州之幸。,746
2021-12-18 18:54:02,冷冷内含光,五星,你能在一部动画片里看到工地，贫穷，也能看到理想和浪漫,803
2021-12-11 21:41:35,LOOK,三星,其实周星驰《少林足球》《喜剧之王》这类伪励志片的精髓在于，一个情境能够同时存在滑稽、荒诞、热血、无奈、苦涩、悲情多重不同面向的情感力量，让观众在瞬间不知道笑还是哭，悲还是喜，当然以这个标准来评判是站着说话不腰疼，但本片真的是过分按部就班，过分套路，过分励志以致幼稚单调。,225
2021-12-25 10:06:41,长庭,一星,下头电影，一堆人搁这自我感动，既不现实，也不尊重国人尤其是你电影里所谓的广东人，某些人能不能脱离编剧的廉价套餐，被电影套进去了还不知道好坏首先舞狮传统文化也得讲究基本逻辑和规矩，这就不是编剧随便架空脑补就完了，你这样子凭什么宣传片又宣传原创国漫，还原真实，以及弘扬传统文化？然后南方舞狮哪一个地方是不能赚钱的？不要求一直做，可以打工业余时间舞狮啊？18岁的舞狮冠军队有什么理由说放弃你扯扯，电影从架空开始就崩不住了，纯纯不理解不了解套舞狮模板的空白臆想电影，怎么吸引观众？最后只能靠铺天盖地宣发，想引用前面几部自来水方式来赚钱，建议签对赌协议前先自己拉编剧好好请专业人士审核一遍，活该亏票房,912
2021-12-19 08:38:00,Lyapunov,五星,活在杜甫的诗里，诵着李白的诗句,566
2021-12-11 19:40:03,Xaviera,三星,制作一流，从制作上看甚至可以说是目前看到最好的院线国产动画电影，非神话和非名著题材确实值得鼓励，总体来看很广东味，能在银幕上多看到南方故事还是开心的。但剧本的问题大到没法让我略过。每个转折位都像完成任务似的逐个打卡，叫阿娟的女角色有何用请问？台词分分钟尬住，“被木棉花砸中的英雄”，你来广州每年随便砸几百个好伐。从小西关长大的人看片子里的荔枝湾，真的是莫名诡异。另外最不舒服的一点，每一个和阿娟PK的舞狮队都是出阴招的，舞狮好歹也算习武之人吧？所以就阿娟那群人的精神就叫雄狮精神，整个圈子都是垃圾？（陈家村那位的转折也超突兀），值得一群废柴少年就算断腿都要拼下去的精神气就仅仅如此吗？喜欢的部分大概只有佛像和结局了。虽然剧本这样，但也希望票房好一点能继续做，或许下一部可以考虑拍拍爬龙舟？,181
2021-12-18 13:02:46,操蛇之神许汉文,五星,我话放这：这电影要是上不了20亿，在座各位都有责任。,681
2021-12-11 23:52:50,栗卡Rica,五星,如果说“我命由我不由天”太过空泛，《雄狮少年》只是让你重新想起心中的鼓点。它讲的根本不是改变命运或实现梦想这些口号式的话题，因为输赢不重要，成功与否不重要，自身以外的价值评判体系不重要。主角的人生可能只有这一个高光时刻，之后和所有普通人一样打工为生活奔波。那又怎样，那个高光时刻足以照亮今后的漫长黑夜。,585
2021-12-18 12:20:58,烙鱼,五星,喜欢这个结局，不强行煽情，不强行he or be，不强行恋爱,507
2021-12-13 14:34:49,不散,四星,心中有鼓点，“世界万变，也不失这志气”…音乐用的很妙啊，已知歌单：《道山靓仔》五条人乐队、《纸飞机 Fly Away》廖颖轩、《世间始终你好》甄妮/罗文、《Rollin' On》椅子乐团、《今夜无人入睡》、《莫欺少年穷》九连真人、《无名的人》毛不易,196
2021-12-25 04:36:56,陈矮,五星,天台舞狮戏真见功力，导演刻意省略了主角在广州依然每天练舞狮的桥段，直到你以为阿娟已经放弃舞狮时，才给你看满墙的红勾，但他舞得磕磕绊绊，难道功夫还是荒废了？不是，他随即闪转腾挪起来，不像以前那么激昂，恍惚得像醉了，你明白是他内心挣扎。突然太阳升起，逆光几重高楼，张开手，你以为他要迎接挑战去比赛了，但没有，鼓声中几组极度写实的城市社畜众生相彻底打破豪迈，原来真正的挑战不是舞狮，而是城市、生活以及被剥削的大多数的命运。诀别之舞，出台词：山路看不到头，我只能往前走了——山是哪座山？他是准备放弃还是准备面对？梦想和生活两条同样沉重的线索在这一场舞狮戏里来回碾压，想当雄狮的少年还是病猫却在病猫的境遇里找到了力量，“弱”与“强”合成了同一个主题，情绪极端复杂处理却又简单准确，还有余裕跟观众玩猫鼠游戏，厉害,394
2021-12-26 22:31:43,胡天柒月,四星,看过电影如果还管这个叫“乳化”，那眼睛真的跟没长一样。,114
2021-12-18 22:44:29,废话不连篇,五星,没有一战成名 没有荣归故里 有的是烟花落幕后 经历平凡而真实的人生 但我们还是要 永远做一头雄狮啊,376
2021-12-25 14:14:58,裂裂的精神角落,五星,请不要再给用心制作的国漫泼冷水了。无视那么好的内核，却只去争论形象设计，接受非日漫非美漫的审美真的很难吗？至少认真看完再问问自己，你真的觉得这些人物是在被丑化吗.,366
2021-12-09 23:54:46,塔塔君Minkun,四星,那些游离在现实主义边缘，在农村这个原始空间最为“显灵”的、人们所迷信的似有似无的神性力量，其实和少年在广州舞狮时，他背后那片随着冉冉升起的太阳而开始一天运作的城市，无非是同一物。少年从农村到城市一直都生活在这巨大而无形的系统/规则中。也因此，这种因为商业动画电影戏剧性所需要的奇迹并没有让（国产动画难得看到的）现实主义在最后变成好莱坞式的廉价浪漫，而且比当下国产动画所流行的“我命不由天”叙事更进一步的是，即便巨大而无形的力量可能有时候会化为奇迹，但更多是在创造奇迹后，奇迹并没有让生活的庸繁苦闷迎刃而解，只是在人生中仅此一瞬降临的神圣，改变的只有是继续生活在系统中作为个体的人。,150
2021-12-10 22:35:52,大奇特(Grinch),五星,整部作品在精神气质上没有迂腐的匠气，而是充满热忱与新颖，挖掘出道地的岭南风情和民间生活的趣味，提炼舞狮的精髓，而且处处充满现实主义的人文关怀。剧作/人物成长更得了周星驰电影的道，舞狮是皮，喜剧是形，励志是魂，对传统文化实现了创造性转化。虽是动画，却是用电影视听完成叙事，行云流水、挥洒自如，甚至不似看动画，每个细节都很精心——小到落叶、水滴落下的弧度与速度，动作与音乐的强弱协奏，大到城市/乡村和人物情感的距离。天台独舞和最后的踩桩采青更是壮观的。角色发展在意料之中，离乡飘零和重披战衣，随上山下山的舞狮哲学所交融。文化根源随人物气节而重生，未曾“睡着”。,290
2021-12-19 17:40:29,张小北,四星,对于国产动画电影来说，真的是一个全新气象！高燃第三幕放在真人电影范畴内都是可圈可点的段落了！尤其喜欢最后的彩蛋，普通人或许无法用自己喜欢的事情去改变命运和生活，但它可以点亮内心，改变我们自己。,118
2021-12-10 20:53:45,耳朵失灵,二星,故事真的太土了，笑料也还停留在周星驰电影的阶段，别来个电影就国产动画之光了好吧，光都累了！！,1136
2021-12-19 01:25:51,云南看云,五星,国漫电影终于从拍神变成拍人了！,309
2021-12-11 17:00:09,panjunci,二星,留守儿童背景就是个幌子，就是营造困难的机器，爷爷和父母这样重要的角色没有任何刻画，就为了突出一个惨，十八岁的孩子没有上过一天学，而且是三个。舞狮是传统文化的幌子，学习过程没有任何关于这项传统文化的科普，完全就是为了升级闯关的幌子，而且在舞狮环境大好，甚至可以举办比赛的情况下，这四个人舞狮就是不务正业，没有出息，反观其他舞狮队个个神采飞扬，用鼻子看人。人物关系也是强行粘合，主角想舞狮的初衷，一半是为了爱情，其他配角就是完全的搞笑配件，两个人舞狮的动机没有，狮尾和狮头的配合没有，打鼓在舞狮中的作用没有，总之就是凸显主角一个强，一旁的群演人物，一说话，就是为了骂主角四人组，怎么难听怎么来，做作至极，全员恶人。另外，公交车的铁锈都可以做得栩栩如生，我不明白这些人物在恐怖谷边缘徘徊的眼睛是什么美学。,923
2021-12-11 08:52:57,喵咪咪,二星,大家真没必要这么捧场吧，各种尬吹。讲故事的能力非常差，台词尴尬得我把沙发皮都抠了，镜头的流畅性差（导演想表达的东西太多了，多到生怕观众不知道)，合作编剧以后就换一个吧。那些说燃的，早上开早会多吼两句一样也很燃。@金逸影城杜比影院超前观影,953
2021-12-10 21:15:26,猫奴十二年,二星,剧本欠打磨。简单说几个很不适的地方：1.喊口号，几次以“李白“为题的脱离叙事和情感逻辑的鸡汤；2.建立在一个写实基础上的动画，居然会出现用脚气解决困境这种无厘头的方式；3.最大的问题，是故事并没有让我感觉到“舞狮“是主人公咸鱼翻身的唯一选择，所以后来发生的一切，都牵强刻意。,770
2021-12-05 19:13:24,有心打扰,二星,主角：“你相信奇迹吗？”我：“不，我不相信。”剧情老土陈旧，毫无惊喜，高潮处更是令人尴尬得脚趾抠地。为了三个主角的励志人生，否决了其他所有辛苦锻炼的舞狮队伍，这是看不起舞狮？还是看不起努力？这种片也就哄哄小孩子了，我不配看。,511
2022-01-02 23:39:52,ileana,五星,这不就是中国人自己的超级英雄片吗？不是拯救世界，拯救人类，而是接纳自己，打破恐惧，迎难而上。广东边陲的小镇，留守的病弱少年，外出打工的父母，镇上的阿猫阿狗，备受欺凌、孤苦、穷困，但内心却有火焰。想成功，想做一头雄狮，想有奇迹，主宰自己的命运。有人说这很狗血，像一碗烂俗的心灵鸡汤。可这正是底层中国人的生活，有渴望有什么不好？成功是不容易，可人都有做梦的权利。人有信念才能所向披靡，哪怕一生只成功一次。,178
2021-12-12 15:44:47,惠子,一星,1.都是女人毁了男人最初的梦想；2.女人帮男人实现梦想就是弥补当初的“后悔”；3.女人应该做男人的梦想启蒙导师；4.女人有了一定成就之后就该退居二线恋爱结婚把舞台让给男人；5.中国人娱个乐都要内卷至死；6.实现梦想的人也无法摆脱打工人的命运。,832
2021-12-10 15:09:10,奇爱博士,四星,《雄狮少年》破除了“高概念+奇观=成功”的迷信，下功夫去呈现服帖的口型、入耳的对白、流畅的动作设计，虽然还不完美，但努力让技术跟上自己的想法，画里画外都有一种钻研劲头。训练过程不过分煽情，结尾大战也不拖泥带水，全片看得人心里敞亮。更加出挑的是，它的少年义气根植于清醒和成熟，越到后面越写实，故事立意经得起推敲，成就了中国眼下非常稀缺的合家欢动画片，应该爆。,198
2021-12-11 19:12:23,张咏轩Wayne®,二星,营销咖集体推荐的电影，其实除了美工外，各方面都平平的国产动画，从剧本到细节落实可诟病的地方太多，俗套追梦人，留守儿童议题，在梦想和现实里做选择，平凡无奇也能登顶神坛，可预料的国产动画元素，可想象的剧本落脚点，对于南方乡村的风光和人文刻画的很有神韵，但通篇对于梦想的描绘以及师徒四人的互动，桥段非常尬，自以为是的矫揉造作，临摹周星驰小人物的篆刻风格，甚至一些剧情直接复刻粘贴，电影的前半段由于角色的样貌和妆容，以及对于醒狮文化的追随，想当然式的梦想集结，特别生硬的展开叙事，后半段阿娟外出打工，现实照应让观众焕发出同理心，算是正式给出代入感，结尾处醒狮斗法，依旧是无厘头的“臭脚”幽默，部分场景热血沸腾，但梦想一步登天，太有偷懒之嫌，陈腔滥调的故事内核，短暂又收敛的技术狂欢，还不能完全说服观众。★★☆,470
2021-12-26 18:40:04,F,五星,开头五条人的《道山靓仔》，中间是椅子的《rolling on》，闫永强的唢呐，九连真人的《莫欺少年穷》，结尾毛不易的《无名的人》这部电影的音乐真的很踩我的点。也许故事还是很老套，但我确实在最后哭得哽咽，一直在影院坐到电影黑幕，出来的时候天已很黑，空气里是一股浓郁的臭豆腐味，口罩被泪水打湿在冷风中贴着脸，很冷，可是身体因为动容的哭泣而阵阵发热。真好，在年末看到这部电影。,196
2021-12-29 23:17:36,七公,五星,就为了那飘动的狮子毛都值得个五星。不用说配乐，叙事节奏，高潮燃点。真是目前为止的最佳国漫了。不吃老祖宗的神话老本，踏踏实实的现实题材，能搞到这个水平，别无他求了。,178
2021-12-28 23:22:08,Shing Chen,五星,说什么RH的都有点儿强词夺理了，人物造型上的创新我从最开始的海报和预告里就喜欢，可能是有那么些向欧美动漫化方式借鉴，但我不觉得是刻意为之。尤其当阿娟剃了短发后，我想到了我侄子，所以后来看他那么辛苦，我都泪目了。故事本身是我喜欢的那种动画片该有的热血和励志，比当年的大圣归来都不差的煽动力，要说作为动画电影的不足，我想可能大概只有笑点不太够这一条？电影配乐见识到了国产电影的进步，插曲几乎要将乐队的夏天给照搬过来了，连阿珍和阿强都以角色名植入了。电影结局没有直接说跳上了擎天柱这个最开始就伏笔了的悬念，想象出来的英雄花和雄狮是一种动画片特有的浪漫主义，也让跳失败了的擎天柱的现实真实中没有丢童真该坚持的不切实际的想象。,200
2021-12-06 21:44:16,星垂平野,一星,人物完全是被推着走的，不是自己主动的行为。人物描写刻画全靠旁白，而非动作和画面。师母的后悔只是太过情怀的对梦想的追逐，并没有其它的考量。很多地方不符合逻辑，也不符合现实的情况。,851
2021-12-12 20:47:44,一念無明,四星,小镇做题人，满墙三好生。依旧摸不到，一线后脚跟。要问谁的错，我可不敢说。,150
2021-12-11 18:08:42,烂瞓,二星,一星给画面，一星给音乐，俗套没逻辑的剧情和混乱的电影节奏。                                                                     开分后更新：8.3的分让我惊讶，大家对国漫真的过于宽容了吧。不提俗套剧情的选择，这种俗套剧情都没写好逻辑，一切都是为了舞狮推进。主角需要两个朋友一起，就来了两个朋友，主角需要一个师父就来了一个师父。碎片式的台词，尴尬的对白。套个传统的舞狮，大家就宽容成这样了么？一味的吹捧，国漫怎么进步。,324
2021-12-20 07:59:32,Mia,三星,给开头的《道山靓仔》和结尾的《莫欺少年穷》加一星。国漫如果还是用这么老土又过时的内核，画面再精致也是枉然。,157
