author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
抽烟送煤气瓶,10,拍给鬼看的，白天票房比较低，晚上及半夜票房高,2021-12-29 19:06:21,2021-12-29 19:06:21,1,62,https://www.zhihu.com/api/v4/answers/2290914848
匿名用户,0,就这票房数据，哄堂大笑了。跟哪吒和跨过鸭绿江一比就知道为什么了,2021-12-24 13:14:12,2021-12-24 13:19:13,9,49,https://www.zhihu.com/api/v4/answers/2284299522
殷色心扉,12,必然是冠军，肯定不是票房,2021-12-29 16:27:27,2021-12-29 16:32:28,4,67,https://www.zhihu.com/api/v4/answers/2290706171
WUYONG,152,匿名提问算个啥！给老子出来让老子拉黑！二！,2021-12-29 17:13:55,2021-12-29 17:13:55,0,26,https://www.zhihu.com/api/v4/answers/2290779672
郭俊祺是二楞啊,10,哈哈哈哈h哈哈哈哈哈，看了几年电影，就这阵仗保底必须至少几亿，所以⊙ω⊙亏了多少啊，不要告诉我因为黑子亏了票房，呜呜呜～～～,2021-12-22 22:14:52,2021-12-22 22:14:52,0,37,https://www.zhihu.com/api/v4/answers/2282131617
YON LI,9,这部糟心的电影如果还是贺岁片，那还不如小钢炮的一九四二，起码还是忆苦思甜。而你告诉我，这三个主角，导演刻意丑化，想做出先抑后扬的剧情反差，可问题是，最后主角也没迎娶白富美，走上人生巅峰。前面家境贫寒，中途家道中落，最后还是照样打工，该干嘛干嘛去。那浪费钱浪费时间去看了个寂寞。电影不造梦，结局没希望，细品还不励志。有什么意义？人生艰难，现实残酷，大家心照不宣，想假装躺平放松一下，结果电影不是奶头也不是鸡汤，连苦口良药都不算，直接奶瓶装尿。导演真行。大过年的真晦气！,2021-12-25 16:36:26,2021-12-25 16:36:26,1,25,https://www.zhihu.com/api/v4/answers/2285673283
匿名用户,0,,2021-12-30 17:38:23,2021-12-30 17:43:24,3,34,https://www.zhihu.com/api/v4/answers/2292168159
所谓,1107,哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈哈哈哈啊哈,2021-12-31 02:42:33,2021-12-31 02:42:33,1,5,https://www.zhihu.com/api/v4/answers/2292610831
让我躺会儿,132,我去看了一下电影前半段的剧情，我只能说凑合，而且很多片段，让我想起了星爷的《少林足球》我不敢说它是借鉴还是致敬又或者抄袭？梗都一样。后面的部分，剧情是真的单薄。最后男主得了冠军，还是在被直播的大赛上，不应该是凭借这次冠军顺利摆脱贫困成名了吗？这特么最后还是去打工去了？热爱的东西，带来的成就不能让自己成功。你特么的立意放哪儿了？人物形象是真的一言难尽……,2021-12-29 14:53:49,2021-12-29 14:53:49,4,24,https://www.zhihu.com/api/v4/answers/2290546709
匿名用户,0,猫眼预测票房连续跌幅，已经低至2.45亿。票房冠军……本都回不来，冠什么军啊。给大家洗洗眼吧。,2021-12-19 11:09:07,2021-12-19 11:14:08,26,498,https://www.zhihu.com/api/v4/answers/2277201494
古德毛宁,20788,绝对是票房冠军！不喜勿喷，狗头护体。讲个真事。那时候雄狮少年刚上映。工作三班倒，等到晚上，反正金主出去夜嗨了，想想去看电影，当时就觉得雄狮少年与众不同，午夜场竟然是满员的！！！问题是电影院就我一个人买票，但是雄狮少年电影票都抢不到，午夜场是满员的！！当时我就也觉得后颈一凉，撞鬼了！！！一群夜鬼把二鬼子的电影捧到票房冠军！！！,2022-01-05 09:14:26,2022-01-05 11:34:15,1,5,https://www.zhihu.com/api/v4/answers/2298157109
天地堪舆小郎君,4014,不太可能……淮海路上的入座率。。。。,2021-12-30 08:10:59,2021-12-30 08:12:04,1,1,https://www.zhihu.com/api/v4/answers/2291340213
阿坑,9477,你想他是，那我就宣布他是吧可以加个春节档了,2021-12-30 12:42:20,2022-01-06 15:17:20,1,1,https://www.zhihu.com/api/v4/answers/2291720533
知乎用户,118,《让冠军飞》_雄狮番外篇汤师爷怒骂：砸了你们，砸了！孩子都知道，知错就改善莫大焉，谦虚使人进步。还敢上知乎提问，还那么直接！冠军？！呸，恶心，我都知道匿名。像这种事，你们可以花点钱吗，花点，哪怕雇271家自媒体呢？花不了多少钱！哪怕偷偷摸摸的。但是瞧瞧你们都雇了一帮什么水军？专门淹死自己个儿的吗？简直就是搞艺术的！连搞艺术的都不如！还说让人观众用票房帮你们影史留名？还恬不知耻说什么东方人物形象典范！？还燃？！还票房冠军？！还审美自信？！我从未见过，有如此厚颜无耻之人！就一句话，恶心！钱肯定是捞不着了！恶心，恶心！恶心呐，恶心！呸，呕，太恶心！更多精彩，点击下方传送门如何看待《雄狮少年》高口碑低票房？,2021-12-31 11:23:18,2021-12-31 11:23:18,0,8,https://www.zhihu.com/api/v4/answers/2292908729
匿名用户,0,不真实的演员帮阴间丑动画电影宣传？？为了金子罢了，人设太假了不真实的演员帮阴间丑动画电影宣传？？为了金子罢了，人设太假了 谁会贡献票房不真实的演员帮阴间丑动画电影宣传？？为了金子罢了，人设太假了不真实的演员帮阴间丑动画电影宣传？？为了金子罢了，人设太假了 谁会贡献票房,2021-12-27 20:45:18,2021-12-27 20:45:18,0,21,https://www.zhihu.com/api/v4/answers/2288220927
知乎用户,70,票房血亏排行榜……应该差不多。应该能竞争总榜，号称制作费用2.8亿…加上满屏发钱的营销费用。不到两亿的票房里又不知道有多少是3k一张的票~   说起码血亏3亿不过分吧。,2021-12-31 11:01:54,2021-12-31 11:01:54,0,1,https://www.zhihu.com/api/v4/answers/2292875924
诩菇子,0,真正的传承，在于对自己文化发自内心的自信，并愿意投身建设弘扬，而不是恶意迎合异族偏见，无底线做犬类。他人叫你膝盖碰地，有权击碎它獠牙,2021-12-29 16:02:41,2021-12-29 16:02:41,0,14,https://www.zhihu.com/api/v4/answers/2290663011
phwer,17,从没见过这么丑的人物造型！反胃,2021-12-25 06:28:49,2021-12-25 06:28:49,0,13,https://www.zhihu.com/api/v4/answers/2285135779
杨莹莹,4,能亏到导演再也不想这样做电影，对国漫是件好事。,2021-12-31 11:27:20,2021-12-31 11:27:20,0,2,https://www.zhihu.com/api/v4/answers/2292914888
求道者,140,总觉得哪里不对劲，当我看到这个图我就明白了。懂得都懂。。。,2021-12-31 20:45:21,2021-12-31 20:50:22,0,9,https://www.zhihu.com/api/v4/answers/2293541994
匿名用户,0,,2021-12-30 00:23:22,2021-12-30 03:23:30,0,8,https://www.zhihu.com/api/v4/answers/2291219955
暗影炮打,5,这什么弱智问题，当然不可能。,2021-12-17 16:40:47,2021-12-17 16:40:47,0,23,https://www.zhihu.com/api/v4/answers/2275229094
里欧先生,180,贺岁？贺什么岁？你们别成心气中国人了行么？,2021-12-30 16:52:34,2021-12-30 16:52:34,1,3,https://www.zhihu.com/api/v4/answers/2292101280
leo,62,这种只在午夜满场的鬼片能当票房冠军？你在逗我？,2021-12-29 12:54:53,2021-12-29 12:54:53,0,2,https://www.zhihu.com/api/v4/answers/2290372101
川叔院子,56,会的。前提是所有电影都不上映，就它一部！,2021-12-29 12:56:46,2021-12-29 12:56:46,0,1,https://www.zhihu.com/api/v4/answers/2290374566
上杉,10,能拉到赞助拍第二部我就佩服导演。怀疑，营销费恐怕比制作费还高，饭圈学的吧。,2022-01-02 08:05:56,2022-01-02 08:05:56,1,0,https://www.zhihu.com/api/v4/answers/2294739815
堤高于岸浪必摧之,8,第一个节点：圣诞+周六=三千万第二个节点：元旦=一千万第三个节点：我要庆祝一下，明天去报复性看《爱情神话》。,2022-01-01 21:23:08,2022-01-01 21:28:09,0,1,https://www.zhihu.com/api/v4/answers/2294464925
